PID,PPID,ImageFileName,Offset(V),Threads,Handles,SessionId,Wow64, CreateTime,ExitTime, File output
4,0,System,0xfa802db55720,81,555,N/A,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
236,4,smss.exe,0xfa802e38cb10,2,29,N/A,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
324,308,csrss.exe,0xfa802e445060,9,803,0,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
376,308,wininit.exe,0xfa802ef57060,3,75,0,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
384,368,csrss.exe,0xfa802e5f0b10,10,416,1,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
440,368,winlogon.exe,0xfa802ef878f0,3,92,1,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
476,376,services.exe,0xfa802ef80b10,7,270,0,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
492,376,lsass.exe,0xfa802efa3b10,27,1157,0,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
500,376,lsm.exe,0xfa802ef85580,9,197,0,False,2022-10-06 01:42:20.000000 UTC,N/A,Disabled
668,476,svchost.exe,0xfa802f06a060,9,352,0,False,2022-10-06 01:42:21.000000 UTC,N/A,Disabled
736,476,vmacthlp.exe,0xfa802f086b10,3,52,0,False,2022-10-06 01:42:21.000000 UTC,N/A,Disabled
768,476,svchost.exe,0xfa802f098b10,8,291,0,False,2022-10-06 01:42:21.000000 UTC,N/A,Disabled
820,476,svchost.exe,0xfa802f0acb10,13,316,0,False,2022-10-06 01:42:21.000000 UTC,N/A,Disabled
948,476,svchost.exe,0xfa802f0e5b10,39,1045,0,False,2022-10-06 01:42:22.000000 UTC,N/A,Disabled
996,476,svchost.exe,0xfa802f119b10,14,574,0,False,2022-10-06 01:42:22.000000 UTC,N/A,Disabled
260,476,svchost.exe,0xfa802f126b10,6,193,0,False,2022-10-06 01:42:22.000000 UTC,N/A,Disabled
328,476,svchost.exe,0xfa802f135360,17,421,0,False,2022-10-06 01:42:22.000000 UTC,N/A,Disabled
1032,476,svchost.exe,0xfa802f139b10,19,308,0,False,2022-10-06 01:42:22.000000 UTC,N/A,Disabled
1300,476,spoolsv.exe,0xfa802e5e2230,15,326,0,False,2022-10-06 01:42:59.000000 UTC,N/A,Disabled
1332,476,Microsoft.Acti,0xfa802e623b10,13,237,0,False,2022-10-06 01:42:59.000000 UTC,N/A,Disabled
1364,476,httpd.exe,0xfa802f297060,6,113,0,True,2022-10-06 01:42:59.000000 UTC,N/A,Disabled
1404,476,dfsrs.exe,0xfa802f2ac650,12,195,0,False,2022-10-06 01:42:59.000000 UTC,N/A,Disabled
1428,476,svchost.exe,0xfa802f2d4870,9,165,0,False,2022-10-06 01:42:59.000000 UTC,N/A,Disabled
1444,1364,httpd.exe,0xfa802f2126a0,157,418,0,True,2022-10-06 01:42:59.000000 UTC,N/A,Disabled
2220,476,FreeSSHDServic,0xfa80307ad060,6,110,0,True,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2240,476,svchost.exe,0xfa80307b34f0,11,130,0,False,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2268,476,ismserv.exe,0xfa80307be5d0,8,95,0,False,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2304,476,mysqld.exe,0xfa80307cd490,32,143,0,True,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2392,476,ntfrs.exe,0xfa80307edb10,16,274,0,False,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2424,476,svchost.exe,0xfa80307fd060,3,48,0,False,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2496,476,VGAuthService.,0xfa8030810b10,3,86,0,False,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2568,476,vmtoolsd.exe,0xfa803082cb10,8,310,0,False,2022-10-06 01:43:02.000000 UTC,N/A,Disabled
2752,476,dfssvc.exe,0xfa8030d72b10,13,116,0,False,2022-10-06 01:43:03.000000 UTC,N/A,Disabled
2980,476,vds.exe,0xfa8030dda7e0,13,134,0,False,2022-10-06 01:43:03.000000 UTC,N/A,Disabled
3024,476,svchost.exe,0xfa8030dee5d0,9,238,0,False,2022-10-06 01:43:03.000000 UTC,N/A,Disabled
3048,668,WmiPrvSE.exe,0xfa8030dfc9b0,9,203,0,False,2022-10-06 01:43:03.000000 UTC,N/A,Disabled
2492,476,svchost.exe,0xfa8030e11b10,5,102,0,False,2022-10-06 01:43:03.000000 UTC,N/A,Disabled
3164,476,dllhost.exe,0xfa8030e3ab10,14,196,0,False,2022-10-06 01:43:03.000000 UTC,N/A,Disabled
3352,476,msdtc.exe,0xfa8030ec63b0,14,157,0,False,2022-10-06 01:43:04.000000 UTC,N/A,Disabled
3576,668,WmiPrvSE.exe,0xfa8030f20060,11,249,0,False,2022-10-06 01:43:05.000000 UTC,N/A,Disabled
3796,476,taskhost.exe,0xfa8030f62b10,8,196,1,False,2022-10-06 01:43:13.000000 UTC,N/A,Disabled
3860,260,dwm.exe,0xfa8030f74440,3,69,1,False,2022-10-06 01:43:13.000000 UTC,N/A,Disabled
3876,3852,explorer.exe,0xfa8030f84b10,29,674,1,False,2022-10-06 01:43:13.000000 UTC,N/A,Disabled
3964,3876,vmtoolsd.exe,0xfa8030fda480,5,200,1,False,2022-10-06 01:43:13.000000 UTC,N/A,Disabled
3804,2104,GoogleCrashHan,0xfa80310966a0,5,91,0,True,2022-10-06 01:43:16.000000 UTC,N/A,Disabled
3888,2104,GoogleCrashHan,0xfa8030ea0770,5,82,0,False,2022-10-06 01:43:16.000000 UTC,N/A,Disabled
3984,3876,notepad.exe,0xfa802f37a060,1,57,1,False,2022-10-06 01:43:50.000000 UTC,N/A,Disabled
744,3876,Shredder.exe,0xfa80310f6200,4,153,1,True,2022-10-06 01:43:57.000000 UTC,N/A,Disabled
3368,476,msiexec.exe,0xfa8030ea2b10,4,170,0,False,2022-10-06 01:46:11.000000 UTC,N/A,Disabled
884,3368,msiexec.exe,0xfa8030fd7060,0,-,1,False,2022-10-06 01:46:11.000000 UTC,2022-10-06 01:46:20.000000 UTC,Disabled
3724,2880,FTK Imager.exe,0xfa8030d7d640,16,317,1,False,2022-10-06 01:46:20.000000 UTC,N/A,Disabled
3720,3876,chrome.exe,0xfa8030f06250,31,941,1,False,2022-10-06 01:46:26.000000 UTC,N/A,Disabled
2208,3720,chrome.exe,0xfa8030f717e0,9,82,1,False,2022-10-06 01:46:26.000000 UTC,N/A,Disabled
3692,3720,chrome.exe,0xfa802efda370,14,228,1,False,2022-10-06 01:46:26.000000 UTC,N/A,Disabled
3156,3720,chrome.exe,0xfa80310ee9c0,7,136,1,False,2022-10-06 01:46:26.000000 UTC,N/A,Disabled
2864,3720,chrome.exe,0xfa802dbdeb10,15,224,1,False,2022-10-06 01:46:27.000000 UTC,N/A,Disabled
852,3720,chrome.exe,0xfa802dbdcb10,16,296,1,False,2022-10-06 01:46:27.000000 UTC,N/A,Disabled
4248,3720,chrome.exe,0xfa8030703600,11,166,1,False,2022-10-06 01:46:28.000000 UTC,N/A,Disabled
4320,3720,chrome.exe,0xfa8030701b10,12,156,1,False,2022-10-06 01:46:29.000000 UTC,N/A,Disabled
4640,3720,chrome.exe,0xfa802dbc9b10,16,251,1,False,2022-10-06 01:46:36.000000 UTC,N/A,Disabled
4764,3720,chrome.exe,0xfa80304da7f0,16,218,1,False,2022-10-06 01:46:49.000000 UTC,N/A,Disabled
4904,3876,svchost.exe,0xfa80303b5350,1,23,1,False,2022-10-06 01:47:00.000000 UTC,N/A,Disabled
4912,4904,cmd.exe,0xfa80303b3760,1,22,1,False,2022-10-06 01:47:00.000000 UTC,N/A,Disabled
4920,384,conhost.exe,0xfa80303d5b10,2,31,1,False,2022-10-06 01:47:00.000000 UTC,N/A,Disabled
3756,4720,rundll32.exe,0xfa802dbe4b10,4,105,0,True,2022-10-06 01:49:12.000000 UTC,N/A,Disabled
